date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:44	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2014:08:44%20GMT	https://maasaradaapartment.mobirisesite.com/index.html	C:/Users/TIRTHARAJ/Downloads/clone/clone/maasaradaapartment.mobirisesite.com/index-2.html	(from https://maasaradaapartment.mobirisesite.com/)
19:38:44	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2014:08:44%20GMT	https://maasaradaapartment.mobirisesite.com/index.html	C:/Users/TIRTHARAJ/Downloads/clone/clone/maasaradaapartment.mobirisesite.com/index-2.html	(from https://maasaradaapartment.mobirisesite.com/)
19:38:44	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2014:08:44%20GMT	https://maasaradaapartment.mobirisesite.com/index.html	C:/Users/TIRTHARAJ/Downloads/clone/clone/maasaradaapartment.mobirisesite.com/index-2.html	(from https://maasaradaapartment.mobirisesite.com/)
19:38:45	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2014:08:45%20GMT	https://maasaradaapartment.mobirisesite.com/index.html	C:/Users/TIRTHARAJ/Downloads/clone/clone/maasaradaapartment.mobirisesite.com/index-2.html	(from https://maasaradaapartment.mobirisesite.com/)
19:38:45	89519/89519	---MCZ	200	added ('OK')	application/javascript	etag:W/%22556cc5605b9240604c835a60fe5a09da%22	https://r.mobirisesite.com/2300835/assets/web/assets/jquery/jquery.min.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/web/assets/jquery/jquery.min9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:45	78922/78922	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dcacb8552bcc847669b9cad75eb845c1%22	https://r.mobirisesite.com/2300835/assets/bootstrap/js/bootstrap.bundle.min.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/bootstrap/js/bootstrap.bundle.min9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:45	15504/15504	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d663afab2e110522a4d51bf9594f6b6%22	https://r.mobirisesite.com/2300835/assets/parallax/jarallax.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/parallax/jarallax9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:46	7478/7478	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c11f6e04f905912da978a4b71f05752%22	https://r.mobirisesite.com/2300835/assets/smoothscroll/smooth-scroll.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/smoothscroll/smooth-scroll9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:46	9888/9888	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f58f601418decb35a363c0edec056889%22	https://r.mobirisesite.com/2300835/assets/ytplayer/index.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/ytplayer/index9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:46	2454/2454	---MCZ	200	added ('OK')	application/javascript	etag:W/%2290370ee0781c144539adb06c8e9e8b2a%22	https://r.mobirisesite.com/2300835/assets/dropdown/js/navbar-dropdown.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/dropdown/js/navbar-dropdown9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:46	3345/3345	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226a4e208b9faca5e605cd387375a67c3%22	https://r.mobirisesite.com/2300835/assets/scrollgallery/scroll-gallery.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/scrollgallery/scroll-gallery9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:47	0/0	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d41d8cd98f00b204e9800998ecf8427e%22	https://r.mobirisesite.com/2300835/assets/mbr-switch-arrow/mbr-switch-arrow.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/mbr-switch-arrow/mbr-switch-arrow9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:47	32056/32056	---MCZ	200	added ('OK')	application/javascript	etag:W/%2205f372dab1486302724701e0358e2c7a%22	https://r.mobirisesite.com/2300835/assets/theme/js/script.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/theme/js/script9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:47	12389/12389	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2cf958370a5aa75abdaa53a4eb9d0a0%22	https://r.mobirisesite.com/2300835/assets/formoid.min.js?rnd=1770645755023	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/formoid.min9996.js	(from https://maasaradaapartment.mobirisesite.com/)
19:38:48	25468/25468	---M--	200	added ('OK')	binary/octet-stream	etag:%22385866f21466d026cef79ed73d2e93cb%22	https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1770645755023)
19:38:48	10824/10824	---M--	200	added ('OK')	font/woff2	etag:%2298a9d62912fe7aa6b81006f2bf1eba0c%22	https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.woff2?f2bix4	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise21e04.woff2	(from https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1770645755023)
19:38:48	25356/25356	---MCZ	200	added ('OK')	application/font-woff	etag:W/%220a7e6a641c103830068ddcebe2ca65ae%22	https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.woff?f2bix4	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise21e04.woff	(from https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1770645755023)
19:38:48	25280/25280	---M--	200	added ('OK')	binary/octet-stream	etag:%22a915592fd82d5a2f17cbbc795a6c31e8%22	https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1770645755023)
19:38:49	72845/72845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bac098032ed07737247de19179bf7059%22	https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.svg?f2bix4	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise21e04.svg	(from https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1770645755023)
19:38:49	243099/243099	---M--	200	added ('OK')	image/jpeg	etag:%2258d19fbcbbdf3c4cc28d162f3e405742%22	https://r.mobirisesite.com/2300835/assets/images/g6599a149a247dfad5f7fa51b46a6-h_mlf8ot12.jpg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/g6599a149a247dfad5f7fa51b46a6-h_mlf8ot12.jpg	(from https://r.mobirisesite.com/2300835/assets/css/mbr-additional.css?rnd=1770645755023)
19:38:49	85301/85301	---M--	200	added ('OK')	image/jpeg	etag:%22d8b01306ac499569729ba8f133d6a103%22	https://r.mobirisesite.com/2300835/assets/images/photo-1664892798972-079f15663b16.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1664892798972-079f15663b16.jpg	(from https://r.mobirisesite.com/2300835/assets/css/mbr-additional.css?rnd=1770645755023)
19:38:49	247911/247911	---M--	200	added ('OK')	image/jpeg	etag:%226aa4f436f137413b4530efbb8b1ad776%22	https://r.mobirisesite.com/2300835/assets/images/g51177577e8fb3a4fc0f91a5c9003-h_mlf8patm.jpg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/g51177577e8fb3a4fc0f91a5c9003-h_mlf8patm.jpg	(from https://r.mobirisesite.com/2300835/assets/css/mbr-additional.css?rnd=1770645755023)
19:38:50	125437/125437	---M--	200	added ('OK')	image/jpeg	etag:%228c7ce40c224601099a9de9662ad02326%22	https://r.mobirisesite.com/2300835/assets/images/photo-1757924461488-ef9ad0670978.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1757924461488-ef9ad0670978.jpg	(from https://r.mobirisesite.com/2300835/assets/css/mbr-additional.css?rnd=1770645755023)
19:38:50	633/633	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Feb%202026%2014:08:50%20GMT	https://r.mobirisesite.com/robots.txt		(from https://r.mobirisesite.com/2300835/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1770645755023)
